Company Name,Address 1,Address 2,Address 3,Address 4,Postcode,Website
RAINBOW FACTORY,SPRINGFIELD COMMERCIAL CENTRE,BAGLEY LANE,FARSLEY,,LS28 5LY,
Grosvenor Casino Leeds Westgate,Wellington Bridge Street,Leeds,,,LS3 1LW,http://www.grosvenorcasinos.com/local-casinos/leeds-westgate
The Dalesman,Leeds City Railway Station,Leeds Station,Leeds,,LS1 5DL,http://www.westcoastrailways.co.uk/dalesman/dalesman-steam-experience.cfm
Opera North,Opera North Grand Theatre,46 New Briggate,Leeds,,LS1 6NU,http://www.operanorth.co.uk/
Brotherton Gallery,"Parkinson Building, University of Leeds",Woodhouse Lane,Leeds,,LS2 9JT,https://library.leeds.ac.uk/treasures
Emmerdale Village Tour,Weetwood Hall,Otley Rd,Leeds,West Yorkshire,LS16 5PS,http://www.emmerdalestudioexperience.co.uk/
BasementArtsProject,BasementArtsProject,28 Burton Terrace,Beeston,Leeds,LS11 5JH,http://www.basementartsproject.com
The Emmerdale Studio Experience,27 Burley Rd,Leeds,West Yorkshire,,LS3 1JT,http://www.emmerdalestudioexperience.co.uk
Victoria Gate,Victoria Gate,26 Eastgate,Leeds,,LS2 7JL,https://www.victorialeeds.co.uk
Emmerdale Village Tour,Leeds Railway Station,,,,LS1 5DL,http://britmovietours.com/bookings/emmerdale-set-tour
Victorian Shopping Quarter,Victorian Shopping Quarter,,,,LS2,http://www.visitleeds.co.uk/things-to-do/Shopping.aspx
Sensory Space Leeds,Sensory Space Leeds,Unit 1a Haddon Hall,Bankfield Road,Leeds,LS4 2JT,http://www.sensoryspaceleeds.co.uk/
Grease Live Movie Experience,Studio 81,71 Kirkstall Rd,Leeds,,LS3 1LH,
Victoria Gate Casino,Victoria Gate,Eastgate,Leeds,,LS2 7JL,https://www.victoriagatecasino.co.uk/
Sunny Bank Mills Gallery,Sunny Bank Mills,Town Street,Farsley,Pudsey,LS28 5UJ,http://www.sunnybankmills.co.uk
Yorkshire County Cricket Club,Headlingley Carnegie Cricket Ground,St Michael's Lane,Leeds,,LS6 3BU,http://yorkshireccc.com
St George's Fields,Leeds University,Woodhouse Lane,,,LS2 9EN,
Musiquarium,8-10 Wyther Lane,Leeds,,,LS5 3BT,
Holbeck Underground Ballroom (The HUB),67-71 Bath Road,Holbeck,Leeds,,LS11 9UA,http://slunglow.macmate.me/index.html
Duke Studios,1 st Floor Munro House,Duke Street,Leeds,,LS9 8AG,http://duke-studios.com/contact
Leeds Town Hall,Leeds Town Hall,The Headrow,Leeds,,LS1 3AD,http://www.leedstownhall.co.uk/
Morley Town Hall,Morley Town Hall,Morley,Leeds,,LS27 9DY,http://www.leeds.gov.uk
Yeadon Town Hall,Yeadon Town Hall,High Street,Leeds,,LS19 7PP,http://www.leeds.gov.uk
Leeds College of Music,3 Quarry Hill,Leeds,,,LS2 7PD,http://www.lcm.ac.uk/
The Craft Centre and Design Gallery,City Art Gallery,The Headrow,Leeds,,LS1 3AB,http://www.craftcentreleeds.co.uk/
Go Racing in Yorkshire,Wetherby Racecourse,York Road,Wetherby,,LS22 5EJ,http://www.wetherbyracing.co.uk/
Seven,31a Harrogate Road,Chapel Allerton,,,LS7 3PD,http://www.sevenleeds.co.uk
Otley Market Square,Market Square,Otley,,,LS2 7HY,http://www.leedsmarkets.co.uk/m/otley-market
Leeds Market Services,34 George Street,Leeds,West Yorkshire,,LS2 7HY,http://www.leedsmarkets.co.uk
Victoria Quarter,4 Cross Arcade,Leeds,,,LS1 6AZ,https://www.victorialeeds.co.uk/
The Light,The Headrow,Leeds,,,LS1 8TL,http://www.thelightleeds.co.uk/
Leeds City Museum,Millennium Square,Leeds,,,LS2 8BH,http://www.leeds.gov.uk/citymuseum
Hyde Park Picture House,Brudenell Road,Leeds,,,LS6 1JD,http://www.hydeparkpicturehouse.co.uk/
Leeds Libraries Service,Central Library,Calverley Street,Leeds,,LS1 3AB,http://www.leeds.gov.uk
Cottage Road Cinema,Cottage Road,Headingley,Leeds,,LS6 4DD,http://www.cottageroad.co.uk/
Vue Cinema - Leeds Kirkstall Road,Cardigan Field,Kirkstall Road,Leeds,,LS4 2DG,www.myvue.com
Wetherby Film Theatre,Crossley Street,Wetherby,,,LS22 6RT,http://www.wetherbyfilmtheatre.co.uk
Pudsey Civic Hall,Dawson's Corner,Pudsey,Leeds,,LS28 5TA,http://www.leeds.gov.uk
Leeds United Football Club,Elland Road,Leeds,,,LS11 0ES,http://www.leedsunited.com
O2 Academy Leeds,55 Cookridge Street,Leeds,,,LS2 3AW,http://www.02academyleeds.co.uk
Otley Courthouse,Otley Courthouse,Courthouse Street,Otley,,LS21 3AN,www.otleycourthouse.org.uk
British Waterways,Fearns Wharf,Neptune Street,Leeds,,LS9 8PB,http://www.leedsdock.com/
Thorntons Arcade,Thorntons Arcade,Leeds,,,LS1 6LQ,
Leeds Trinity,Albion Street,Leeds,,,LS1 5ER,http://trinityleeds.com/
St Johns Centre,Merrion Street,Leeds,,,LS1,www.stjohnsleeds.co.uk
Pavilion,7 Saw Mill Yard Round Foundry,Holbeck,Leeds,,LS11 5WH,http://www.pavilion.org.uk
The HiFi Club,2 Central Road,Leeds,,,LS1 6DE,www.thehificlub.co.uk
Leventhorpe Vineyard,Bullerthorpe Lane,Woodlesford,Leeds,,LS26 8AF,http://www.englishwineproducers.co.uk/vineyards/north/yorkshire/leventhorpe-vineyards/
Roundhay Park Estate,The Mansion,Mansion Lane,Roundhay,Leeds,LS8 2HH,www.leeds.gov.uk
Smokestack,159a Lower Briggate,Leeds,,,LS1 6LY ,www.smokestack.org.uk
Mission,Heatons Court,Leeds,,,LS1 7BT ,www.clubmission.com
The Wardrobe,6 St. Peters Square,Leeds,,,LS9 8AH ,www.thewardrobe.co.uk
Wire Club,2a Call Lane,Leeds,,,LS1 6DN ,www.wireclub.co.uk
PRYZM Leeds,16-18 Woodhouse Lane,Leeds,,,LS2 8LX ,http://www.pryzm.co.uk/leeds
Mint Club,8a Harrison Street,Leeds,,,LS1 6PA ,www.themintclub.com
The Faversham,1-5 Springfield Mount,Leeds,,,LS2 9NG ,www.thefaversham.com
The Space ,Hirsts Yard,Duncan Street,Leeds,,LS1 1DL,
The Bowery,54 Otley Road,Leeds,,,LS6 2AL,http://www.thebowery.org
Leeds Arts University,Blenheim Walk,Leeds,,,LS2 9AQ ,http://www.leeds-art.ac.uk
Stanley & Audrey Burton Theatre,"2 St. Cecilia Street, Quarry Hill",Leeds,,,LS2 7PA,http://www.theatreleeds.com
St John the Evangelist Church,23 New,Briggate,Leeds,,LS2 8JD,http://www.visitchurches.org.uk
Opera North,46 New Briggate,Leeds,,,LS1 6NU,http://www.operanorth.co.uk
The Irish Centre,York Road,Leeds,,,LS9 9NT ,http://www.theleedsirishcentre.co.uk
Holy Trinity Church,Boar Lane,Leeds,,,LS1 6HW ,
Leeds Cathedral,Cathedral House,Great George Street,Leeds,,LS2 8BE ,http://www.leedscathedral.org.uk
The White Rose Shopping Centre,Dewsbury Road,Leeds,,,LS11 8LU,http://www.white-rose.co.uk
East Street Arts/ Patrick Studios,East Street Arts/ Patrick Studios,St Marys Lane,Leeds,,LS9 7EH,http://eaststreetarts.org.uk
Leeds Sculpture Workshop,Unit 2,Nowell Lane Industrial Estate,Nowell Lane,Leeds,LS9 6JE,www.leedssculptureworkshop.com
The Warehouse,19-21 Somers Street,Leeds,,,LS1 2RG,http://www.theleedswarehouse.com
Northern School of Contemporary Dance,98 Chapletown Road,Chapletown,Leeds,,LS7 4BH,http://www.nscd.ac.uk
The Merrion Centre,The Merrion Centre,Leeds,,,LS2 8NG,http://merrioncentre.co.uk
Leeds Discovery Centre,Carlisle Road,Leeds,,,LS10 1LB,http://www.leeds.gov.uk/discoverycentre
Left Bank Leeds,c/o 4 Spring Grive Walk,Leeds,,,LS6 1RR,http://www.leftbankleeds.org.uk
Hillbark Open Garden,19 Church Lane,Bardsey,Leeds,,LS17 9DH,http://www.hillbark.co.uk/
Bardsey Parish Church,The Parish Office,Callister Hall,Woodacre Lane,Bardsey,LS17 9DG,http://www.bardseypcc.org.uk/
Bingley Arms,37 Church Lane,Bardsey,Leeds,,LS17 9DR,http://www.bingleyarms.co.uk
Leeds Visitor Centre,Visit Leeds and Art Gallery Shop,The Headrow,Leeds,,LS1 3AA,
Mint Warehouse,Aquatite House,Water Lane,Leeds,,LS11 9UD,http://www.mintleeds.co.uk
Rivers Meet,102 Leeds Road,Methley,Leeds,,LS26 9EP,http://www.riversmeetcraftcafe.co.uk
Mill Hill Unitarian Chapel,City Square,Leeds,,,LS1 5EB,http://www.millhillchapel.org
Headingley Enterprise and Arts Centre,Bennett Road,Leeds,,,LS6 3HN,http://www.heartcentre.org.uk/whats-on
Gallery Munro House,Munro House,York Street,Leeds,,LS9 8AG,http://leedsgallery.com
Shine,Harehills Road,Leeds,,,LS8 5HS,
M&S Company Archive,Michael Marks Building,Western Campus,University of Leeds,Leeds,LS2 9JT,http://marksintime.marksandspencer.com
Canal Mills,Brandon Street,Armley Road,Leeds,,LS12 2ED,http://www.canalmills.com/
First Direct Arena,10th Floor North,Tower North Central,Merrion Way,Leeds,LS2 8PA,http://www.firstdirectarena.com
Calverley Methodist Church,Carr Road,Calverley,Pudsey,,LS28 5PQ,http://www.bradfordnorth.org.uk/calverley.html
