DayCode,DayDate,Alternaria,Cladosporium
180,29-Jun,"26,85","251,85"
181,30-Jun,"6,48","125,00"
182,1-Jul,"12,04","117,59"
183,2-Jul,"9,26","85,19"
184,3-Jul,"88,89","447,22"
185,4-Jul,"125,00","1191,67"
186,5-Jul,"44,44","362,96"
187,6-Jul,"31,48","476,85"
188,7-Jul,"23,15","357,41"
189,8-Jul,"25,93","278,70"
190,9-Jul,"36,11","239,81"
191,10-Jul,"69,44","622,22"
192,11-Jul,"95,37","855,56"
193,12-Jul,"60,19","252,78"
194,13-Jul,"22,22","171,30"
195,14-Jul,"23,15","189,81"
196,15-Jul,"21,30","122,22"
197,16-Jul,"18,52","235,19"
198,17-Jul,"9,26","161,11"
199,18-Jul,"32,41","636,11"
200,19-Jul,"312,96","2256,48"
201,20-Jul,"82,41","501,85"
202,21-Jul,"47,22","293,52"
203,22-Jul,"37,04","278,70"
204,23-Jul,"22,22","301,85"
205,24-Jul,"35,19","264,81"
206,25-Jul,"30,56","228,70"
207,26-Jul,"45,37","224,07"
208,27-Jul,"14,81","125,00"
209,28-Jul,"3,70","65,74"
210,29-Jul,"0,00","53,70"
211,30-Jul,"1,85","69,44"
212,31-Jul,"78,70","659,26"
213,1-Aug,"30,56","231,48"
214,2-Aug,"16,67","166,67"
215,3-Aug,"15,74","121,30"
216,4-Aug,"2,78","84,26"
217,5-Aug,"11,11","79,63"
218,6-Aug,"5,56","81,48"
219,7-Aug,"12,96","116,67"
220,8-Aug,"5,56","98,15"
221,9-Aug,"12,96","158,33"
222,10-Aug,"4,63","87,04"
223,11-Aug,"19,44","212,04"
224,12-Aug,"3,70","102,78"
225,13-Aug,"4,63","67,59"
226,14-Aug,"8,33","119,44"
227,15-Aug,"30,56","593,52"
228,16-Aug,"9,26","116,67"
229,17-Aug,"12,04","43,52"
230,18-Aug,"7,41","34,26"
231,19-Aug,"3,70","28,70"
232,20-Aug,"4,63","50,00"
233,21-Aug,"34,26","525,00"
234,22-Aug,"120,37","2190,74"
235,23-Aug,"25,93","397,22"
236,24-Aug,"13,89","151,85"
237,25-Aug,"31,48","224,07"
238,26-Aug,"25,93","233,33"
239,27-Aug,"21,30","214,81"
240,28-Aug,"27,78","187,96"
241,29-Aug,"0,00","0,00"
242,30-Aug,"0,00","0,00"
243,31-Aug,"0,00","0,00"
244,1-Sep,"0,00","0,00"
245,2-Sep,"0,00","0,00"
246,3-Sep,"0,00","0,00"
247,4-Sep,"0,00","0,00"
248,5-Sep,"0,00","0,00"
249,6-Sep,"0,00","0,00"
250,7-Sep,"0,00","0,00"
251,8-Sep,"0,00","0,00"
252,9-Sep,"0,00","0,00"
253,10-Sep,"0,00","0,00"
254,11-Sep,"0,00","0,00"
255,12-Sep,"0,00","0,00"
256,13-Sep,"0,00","0,00"
257,14-Sep,"0,00","0,00"
258,15-Sep,"0,00","0,00"
259,16-Sep,"0,00","0,00"
260,17-Sep,"0,00","0,00"
261,18-Sep,"0,00","0,00"
262,19-Sep,"0,00","0,00"
263,20-Sep,"0,00","0,00"
264,21-Sep,"0,00","0,00"
265,22-Sep,"0,00","0,00"
266,23-Sep,"0,00","0,00"
267,24-Sep,"0,00","0,00"
268,25-Sep,"0,00","0,00"
269,26-Sep,"0,00","0,00"
270,27-Sep,"0,00","0,00"
271,28-Sep,"0,00","0,00"
272,29-Sep,"0,00","0,00"
273,30-Sep,"0,00","0,00"
274,1-Oct,"0,00","0,00"
275,2-Oct,"0,00","0,00"
276,3-Oct,"0,00","0,00"
277,4-Oct,"0,00","0,00"
278,5-Oct,"0,00","0,00"
279,6-Oct,"0,00","0,00"
280,7-Oct,"0,00","0,00"
281,8-Oct,"0,00","0,00"
282,9-Oct,"0,00","0,00"
283,10-Oct,"0,00","0,00"
284,11-Oct,"0,00","0,00"
285,12-Oct,"0,00","0,00"
286,13-Oct,"0,00","0,00"
287,14-Oct,"0,00","0,00"
288,15-Oct,"0,00","0,00"
289,16-Oct,"0,00","0,00"
290,17-Oct,"0,00","0,00"
291,18-Oct,"0,00","0,00"
292,19-Oct,"0,00","0,00"
293,20-Oct,"0,00","0,00"
294,21-Oct,"0,00","0,00"
295,22-Oct,"0,00","0,00"
296,23-Oct,"0,00","0,00"
297,24-Oct,"0,00","0,00"
298,25-Oct,"0,00","0,00"
299,26-Oct,"0,00","0,00"
300,27-Oct,"0,00","0,00"
301,28-Oct,"0,00","0,00"
302,29-Oct,"0,00","0,00"
303,30-Oct,"0,00","0,00"
304,31-Oct,"0,00","0,00"
305,1-Nov,"0,00","0,00"
306,2-Nov,"0,00","0,00"
307,3-Nov,"0,00","0,00"
308,4-Nov,"0,00","0,00"
309,5-Nov,"0,00","0,00"
310,6-Nov,"0,00","0,00"
311,7-Nov,"0,00","0,00"
312,8-Nov,"0,00","0,00"
313,9-Nov,"0,00","0,00"
314,10-Nov,"0,00","0,00"
315,11-Nov,"0,00","0,00"
316,12-Nov,"0,00","0,00"
317,13-Nov,"0,00","0,00"
318,14-Nov,"0,00","0,00"
319,15-Nov,"0,00","0,00"
320,16-Nov,"0,00","0,00"
321,17-Nov,"0,00","0,00"
322,18-Nov,"0,00","0,00"
323,19-Nov,"0,00","0,00"
324,20-Nov,"0,00","0,00"
325,21-Nov,"0,00","0,00"
326,22-Nov,"0,00","0,00"
327,23-Nov,"0,00","0,00"
328,24-Nov,"0,00","0,00"
329,25-Nov,"0,00","0,00"
330,26-Nov,"0,00","0,00"
331,27-Nov,"0,00","0,00"
332,28-Nov,"0,00","0,00"
333,29-Nov,"0,00","0,00"
334,30-Nov,"0,00","0,00"
335,1-Dec,"0,00","0,00"
336,2-Dec,"0,00","0,00"
337,3-Dec,"0,00","0,00"
338,4-Dec,"0,00","0,00"
339,5-Dec,"0,00","0,00"
340,6-Dec,"0,00","0,00"
341,7-Dec,"0,00","0,00"
342,8-Dec,"0,00","0,00"
343,9-Dec,"0,00","0,00"
344,10-Dec,"0,00","0,00"
345,11-Dec,"0,00","0,00"
346,12-Dec,"0,00","0,00"
347,13-Dec,"0,00","0,00"
348,14-Dec,"0,00","0,00"
349,15-Dec,"0,00","0,00"
350,16-Dec,"0,00","0,00"
351,17-Dec,"0,00","0,00"
352,18-Dec,"0,00","0,00"
353,19-Dec,"0,00","0,00"
354,20-Dec,"0,00","0,00"
355,21-Dec,"0,00","0,00"
356,22-Dec,"0,00","0,00"
357,23-Dec,"0,00","0,00"
358,24-Dec,"0,00","0,00"
359,25-Dec,"0,00","0,00"
360,26-Dec,"0,00","0,00"
361,27-Dec,"0,00","0,00"
362,28-Dec,"0,00","0,00"
363,29-Dec,"0,00","0,00"
364,30-Dec,"0,00","0,00"
365,31-Dec,"0,00","0,00"
